,item_number,condition_answer_x,condition,condition_context_x,helpfulness,posterior,prior,kl,kl_exp,entropy_reduction,Input.list,anon_id,answer,condition_answer_y,condition_context_y,context,experiment,passed,response,slider_position
0,1,high-certainty,context-low-bias answer-high-certainty,low-bias,0.8627,0.9803580137000001,0.7852875355000001,0.3392827550851855,0.28771898046743594,0.42349126858463865,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,It's going to rain this afternoon.,high-certainty,low-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom.",helpfulness,True,0.8627,0.8627
1,1,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,1.0,0.5893149965000001,0.0254997668,0.7619872467494933,0.5332620187460604,-0.558374209441403,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,It'll be in the ballroom.,exhaustive-answer,negative-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",helpfulness,True,1.0,1.0
2,1,high-certainty,context-negative-bias answer-high-certainty,negative-bias,0.5405,0.9272377565000001,0.0254997668,2.4369281728921823,0.9125709938201533,-0.14199342453216174,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,It's going to rain this afternoon.,high-certainty,negative-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",helpfulness,True,0.5405,0.5405
3,1,low-certainty,context-negative-bias answer-low-certainty,negative-bias,0.2149,0.44641453070000003,0.0254997668,0.4780931763366728,0.3800355717235967,-0.5686606462996506,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,It's going to be cloudy this afternoon.,low-certainty,negative-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",helpfulness,True,0.2149,0.2149
4,1,non-answer,context-negative-bias answer-non-answer,negative-bias,0.0,0.0069205727000000005,0.0254997668,0.014851746754163807,0.014742003527944303,0.07741833011675371,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,There are supposed to be 100 guests.,non-answer,negative-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom.",helpfulness,True,0.0,0.0
5,1,low-certainty,context-positive-bias answer-low-certainty,positive-bias,0.23240000000000002,0.1072512095,0.8230499833,1.3908641079168413,0.7511398303476479,0.1260075472456033,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,It's going to be cloudy this afternoon.,low-certainty,positive-bias,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. You're not sure if the ceremony is supposed to be on the beach or in the mansion, but last you heard they were planning on having it indoors.",helpfulness,True,0.23240000000000002,0.23240000000000002
6,2,low-certainty,context-low-bias answer-low-certainty,low-bias,0.2606,0.9839631259,0.655494785,0.790412057853058,0.5463421765053675,0.561792812475364,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,There is ground beef in the kitchen.,low-certainty,low-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Tuesday, which has been hamburger night the last couple weeks. ",helpfulness,True,0.2606,0.2606
7,2,high-certainty,context-negative-bias answer-high-certainty,negative-bias,0.20770000000000002,0.655494785,0.0527715528,0.8251026764183127,0.5618100016245009,-0.4373822010450614,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,There are hamburger buns in the kitchen.,high-certainty,negative-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",helpfulness,True,0.20770000000000002,0.20770000000000002
8,2,low-certainty,context-negative-bias answer-low-certainty,negative-bias,0.9175000000000001,0.7326931006,0.0527715528,1.0595503009801537,0.653388353794623,-0.37396535313629153,5,a0621e085154f26a0894d27419742f3a1c5433b4ab4350c52cf0749009adbf8a,There is ground beef in the kitchen.,low-certainty,negative-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",helpfulness,True,0.9175000000000001,0.9175000000000001
9,2,non-answer,context-negative-bias answer-non-answer,negative-bias,0.035,0.18237839390000002,0.0527715528,0.07393320938999028,0.0712662775383408,-0.26838443058882455,6,b694ef4ac331c8abf39d2b41e1a7f1d16d7f282dc1308461c7e906cbc06856b7,We're having ice cream for dessert.,non-answer,negative-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",helpfulness,True,0.035,0.035
10,2,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,0.7445,0.2766835298,0.0527715528,0.1680240138123914,0.1546664652399915,-0.383197262358821,7,992786ab4097d1033cd4d8d64a9209e25590a6e4202fa7feccde4136ae77caf5,We'll have hamburgers if Mom had a tough day at work.,reductive-answer,negative-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which used to be hamburger night, but lately, Mom has stopped making hamburgers because they're too ""unhealthy"".",helpfulness,True,0.7445,0.7445
11,2,non-answer,context-positive-bias answer-non-answer,positive-bias,0.0,1.0,0.8571983958,inf,1.0,0.41001679377698963,11,858224efa47e4a38e69e6089acf703710f3f10a0cd763076a45829330b79157b,We're having ice cream for dessert.,non-answer,positive-bias,"After a long day of school, you come home starving, and wondering what Mom is cooking for dinner. It's Thursday, which is usually hamburger night.",helpfulness,True,0.0,0.0
12,3,non-answer,context-low-bias answer-non-answer,low-bias,0.0,0.5723173442,0.5052498928,0.009096315882993797,0.009055069559611328,0.010441249117528528,0,adb108e1c1f7b9c38be07ce5d11be5e53e47b6b16ac43c5d4f69934f00dfa4dd,He works in the IT department.,non-answer,low-bias,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward.",helpfulness,True,0.0,0.0
13,3,low-certainty,context-negative-bias answer-low-certainty,negative-bias,0.0,0.6655249299,0.15761915140000002,0.5510480715561468,0.42365455753936176,-0.20160191244816983,4,590540bbc88a4a9dfa458f6dfffb993100ae2c69fd626babb0c8b70712154f3d,He lives in the suburbs.,low-certainty,negative-bias,"Joe is the new guy at work, and he's pretty cute. You're thinking of asking him on a date, but if he's married that would be pretty awkward. On the other hand, you saw him come to company picnic last week without a plus-one.",helpfulness,True,0.0,0.0
