,item_number,condition_answer,condition,condition_context,helpfulness,posterior,prior,helpfulness_mean,helpfulness_stdev,helpfulness_range,posterior_mean,posterior_stdev,posterior_range,prior_mean,prior_stdev,prior_range,kl,kl_exp,entropy_reduction,answer,context
0,1,exhaustive-answer,context-low-bias answer-exhaustive-answer,low-bias,"[1.0, 1.0, 1.0]","[0.9040646508, 0.1651982931, 0.6753344804]","[0.7852875355000001, 0.6811805738000001, 0.43213336480000003]",1.0,0.0,0.0,0.5815324747666667,0.30884730405260463,0.7388663577,0.6328671580333334,0.14816681292377473,0.35315417070000005,0.005487879958791124,0.012556807639621859,-0.022380457283851962,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom."
3,1,high-certainty,context-low-bias answer-high-certainty,low-bias,"[0.8627, 0.9021, 0.8262]","[0.9803580137000001, 0.8651321634, 0.9552543444, 0.8914686076]","[0.7852875355000001, 0.6811805738000001, 0.43213336480000003]",0.8636666666666667,0.03099358356534819,0.07589999999999997,0.9230532822749999,0.04656497699915402,0.1152258503000001,0.6328671580333334,0.14816681292377473,0.35315417070000005,0.33482486391524746,0.5374324785749016,0.3861639645517937,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom."
6,1,low-certainty,context-low-bias answer-low-certainty,low-bias,"[0.4824, 0.0, 0.6585000000000001]","[0.7758726651000001, 0.5632611878, 0.9040646508]","[0.7852875355000001, 0.6811805738000001, 0.43213336480000003]",0.3803,0.2783569291395492,0.6585000000000001,0.7477328345666666,0.1405480644833684,0.340803463,0.6328671580333334,0.14816681292377473,0.35315417070000005,0.032208231195048856,0.07147891801222306,0.09259987771373068,It's going to be cloudy this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom."
9,1,non-answer,context-low-bias answer-non-answer,low-bias,"[0.019700000000000002, 0.0, 0.20070000000000002]","[0.1680503988, 0.2766835298, 0.1538846092]","[0.7852875355000001, 0.6811805738000001, 0.43213336480000003]",0.07346666666666667,0.0903263096900467,0.20070000000000002,0.1995395126,0.05485475938672529,0.1227989206,0.6328671580333334,0.14816681292377473,0.35315417070000005,0.4443191975494202,0.6405149760940005,0.15764868942613408,There are supposed to be 100 guests.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom."
12,1,reductive-answer,context-low-bias answer-reductive-answer,low-bias,"[0.7705000000000001, 0.6793, 0.2711]","[0.4003945524, 0.8647299301, 0.6956587738000001]","[0.7852875355000001, 0.6811805738000001, 0.43213336480000003]",0.5736333333333334,0.2171392384827968,0.49940000000000007,0.6535944187666667,0.19188345980347576,0.4643353777,0.6328671580333334,0.14816681292377473,0.35315417070000005,0.0009402887535702523,0.002162752739803264,0.012218966464746628,It'll be indoors if they need to use the sound system.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, Kim wanted to have the ceremony on the beach, but Sam wanted to have it in the mansion ballroom."
15,1,exhaustive-answer,context-negative-bias answer-exhaustive-answer,negative-bias,"[1.0, 1.0, 1.0]","[0.5893149965000001, 0.14414228440000001, 0.8446260066]","[0.0254997668, 0.8069187223000001, 0.10489090200000001]",1.0,0.0,0.0,0.5260277625,0.28945156964775043,0.7004837222,0.31243646370000006,0.35115074269198987,0.7814189555000001,0.09301274272813087,0.19278865466094275,-0.07075540964965477,It'll be in the ballroom.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom."
18,1,high-certainty,context-negative-bias answer-high-certainty,negative-bias,"[0.5405, 0.7299, 0.8028000000000001]","[0.9272377565000001, 0.6047328653, 0.5473212081000001, 0.9544957265]","[0.0254997668, 0.8069187223000001, 0.10489090200000001]",0.6910666666666666,0.11054815943992718,0.2623000000000001,0.7584468891,0.18379850234294398,0.40717451839999996,0.31243646370000006,0.35115074269198987,0.7814189555000001,0.4421450226066835,0.6387108016850105,0.0681727048383094,It's going to rain this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom."
21,1,low-certainty,context-negative-bias answer-low-certainty,negative-bias,"[0.2149, 0.078, 0.376]","[0.44641453070000003, 0.3246655196, 0.6907174391]","[0.0254997668, 0.8069187223000001, 0.10489090200000001]",0.22296666666666667,0.12179163445090235,0.298,0.48726582980000005,0.15220627105133103,0.36605191950000004,0.31243646370000006,0.35115074269198987,0.7814189555000001,0.0628794040287474,0.1347918614317154,-0.0717865578120842,It's going to be cloudy this afternoon.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom."
24,1,non-answer,context-negative-bias answer-non-answer,negative-bias,"[0.0, 0.0, 0.0]","[0.0069205727000000005, 0.0, 0.0049188865000000005]","[0.0254997668, 0.8069187223000001, 0.10489090200000001]",0.0,0.0,0.0,0.0039464864,0.00290777728283493,0.0069205727000000005,0.31243646370000006,0.35115074269198987,0.7814189555000001,1.1109963948061679,0.9225531773157736,0.5952540562883978,There are supposed to be 100 guests.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom."
27,1,reductive-answer,context-negative-bias answer-reductive-answer,negative-bias,"[0.6725, 0.7852, 0.5049]","[0.40347683830000003, 0.22758846030000002, 0.1117600624]","[0.0254997668, 0.8069187223000001, 0.10489090200000001]",0.6542,0.11516130715942167,0.2803,0.2476084536666667,0.11993128431501583,0.2917167759,0.31243646370000006,0.35115074269198987,0.7814189555000001,0.010706588928790346,0.024351432861093314,0.06134379165706505,It'll be indoors if they need to use the sound system.,"It's the day of Kim and Sam's wedding. The wedding is at a beautiful beachside mansion. Last you heard, the plan was to have the ceremony on the beach, and the reception in the mansion ballroom."
